Key,Comment,Japanese,English,Traditional Chinese,Simplified Chinese,Japanese_Steam,English_Steam,Traditional Chinese_Steam,Simplified Chinese_Steam
Chapter 1-1,注釈,,,,,,,,
,開幕戦闘開始,,,,,,,,
,,,,,,,,,
,戦闘勝利後,,,,,,,,
,,,,,,,,,
Dialog.Chapter1-1-1,ホーム画面,アジト内部,Inside the foundation's hideout,據點內部,据点内部,アジト内部,Inside the foundation's hideout,據點內部,据点内部
,,,,,,,,,
Dialog.Chapter1-1-2,,組織の職員たちは笹谷明穂、水無瀬六花の諜報活動に奔走していた,The organization's employees were busy working on espionage activities for Sasaya Akiho and Minase Rikka.,組織的職員們正在為針對笹谷明穂與水無瀬六花的諜報行動而奔走。,组织的职员们正在为针对笹谷明穂与水无瀬六花的谍报行动而奔走。,組織の職員たちは笹谷明穂、水無瀬六花の諜報活動に奔走していた,The organization's employees were busy working on espionage activities for Sasaya Akiho and Minase Rikka.,組織的職員們正在為針對笹谷明穂與水無瀬六花的諜報行動而奔走。,组织的职员们正在为针对笹谷明穂与水无瀬六花的谍报行动而奔走。
,,,,,,,,,
Dialog.Chapter1-1-3,005号,「―――――これが笹谷明穂、水無瀬六花の一週間の行動パターンです」,「――――― This is the weekly activity pattern of Sasaya Akiho and Minase Rikka.」,「―――――這是笹谷明穂，水無瀬六花這一周的行動模式報告。」,「―――――这是笹谷明穂，水无瀬六花这一周的行动模式报告。」,「―――――これが笹谷明穂、水無瀬六花の一週間の行動パターンです」,「――――― This is the weekly activity pattern of Sasaya Akiho and Minase Rikka.」,「―――――這是笹谷明穂，水無瀬六花這一周的行動模式報告。」,「―――――这是笹谷明穂，水无瀬六花这一周的行动模式报告。」
,,,,,,,,,
Choice.Chapter1-1-3(1),SEL,「…ご苦労」,「....Thanks.」,「…辛苦了」,「…辛苦了」,「…ご苦労」,「....Thanks.」,「…辛苦了」,「…辛苦了」
,,,,,,,,,
Dialog.Chapter1-1-4,005号,「作戦実行に必要な戦力と、諸々の機関への工作活動の手筈も整っています。後は時期を見計らって作戦を実行に移すだけです」,「We have the necessary forces to carry out the operation and arrangements have been made for maneuvering with various agencies. All we have to do now is to find the right time and put the operation into action.」,「執行作戰所需要的戰力和各機關間的規劃工作已經準備就緒。剩下的就是決定實際的執行時機並實際行動而已。」,「执行作战所需要的战力和各机关间的规划工作已经准备就绪。剩下的就是决定实际的执行时机并实际行动而已。」,「作戦実行に必要な戦力と、諸々の機関への工作活動の手筈も整っています。後は時期を見計らって作戦を実行に移すだけです」,「We have the necessary forces to carry out the operation and arrangements have been made for maneuvering with various agencies. All we have to do now is to find the right time and put the operation into action.」,「執行作戰所需要的戰力和各機關間的規劃工作已經準備就緒。剩下的就是決定實際的執行時機並實際行動而已。」,「执行作战所需要的战力和各机关间的规划工作已经准备就绪。剩下的就是决定实际的执行时机并实际行动而已。」
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,「これより、作戦を開始する！」,「We will now begin the operation!」,「那麼，作戰開始吧！」,「那么，作战开始吧！」,「これより、作戦を開始する！」,「We will now begin the operation!」,「那麼，作戰開始吧！」,「那么，作战开始吧！」
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,飲食店の店内　夕方,,,,,,,,
,,,,,,,,,
Dialog.Chapter1-1-5,,街中のとあるカフェにて,At a certain cafe in town,街邊的某個咖啡廳裡,街边的某个咖啡厅里,街中のとあるカフェにて,At a certain cafe in town,街邊的某個咖啡廳裡,街边的某个咖啡厅里
,,,,,,,,,
Dialog.Chapter1-1-6,明穂,「おいしかった～！よし、今日の予定しゅうりょ～う！」,"「It was delicious! Okay, let's get on with today's schedule!」",「太好吃了～！耶，今天的行程完～畢！」,「太好吃了～！耶，今天的行程完～毕！」,「おいしかった～！よし、今日の予定しゅうりょ～う！」,"「It was delicious! Okay, let's get on with today's schedule!」",「太好吃了～！耶，今天的行程完～畢！」,「太好吃了～！耶，今天的行程完～毕！」
,,,,,,,,,
Dialog.Chapter1-1-7,六花,「これで5件目…明穂甘いもの食べ過ぎじゃない？」,"「This is the fifth case...aren't you eating too many sweet things, Akiho?」",「剛剛那是第五家了…明穂會不會吃太多甜食了啊？」,「刚刚那是第五家了…明穂会不会吃太多甜食了啊？」,「これで5件目…明穂甘いもの食べ過ぎじゃない？」,"「This is the fifth case...aren't you eating too many sweet things, Akiho?」",「剛剛那是第五家了…明穂會不會吃太多甜食了啊？」,「刚刚那是第五家了…明穂会不会吃太多甜食了啊？」
,,,,,,,,,
Dialog.Chapter1-1-8,明穂,「そんなことないって！パトロールも体力付けるのも聖核戦姫の大事な仕事だよ！」,「I don't think so! Patrolling and physical fitness are important jobs for the Seikaku Princess!」,「沒這種事啦！巡邏和維持體力都是身為聖核戰姬的我們重要的工作喔！」,「没这种事啦！巡逻和维持体力都是身为圣核战姬的我们重要的工作喔！」,「そんなことないって！パトロールも体力付けるのも聖核戦姫の大事な仕事だよ！」,「I don't think so! Patrolling and physical fitness are important jobs for the Seikaku Princess!」,「沒這種事啦！巡邏和維持體力都是身為聖核戰姬的我們重要的工作喔！」,「没这种事啦！巡逻和维持体力都是身为圣核战姬的我们重要的工作喔！」
,,,,,,,,,
Dialog.Chapter1-1-9,六花,「…まあ、もらった活動費で放課後にスイーツ食べ歩いてただけなんだけど…」,「Hmm... what we we did were just eating sweets after school...」,「…額，我們好像只是拿著活動經費在放學後逛甜點店而已耶…」,「…额，我们好像只是拿著活动经费在放学后逛甜点店而已耶…」,「…まあ、もらった活動費でパトロール中にスイーツ食べ歩いてただけなんだけど…」,「Hmm... what we we did were just eating sweets during our patrol shifts using budget...」,「…額，我們好像只是拿著活動經費在巡邏中逛甜點店而已耶…」,「…额，我们好像只是拿著活动经费在巡逻中逛甜点店而已耶…」
,,,,,,,,,
Dialog.Chapter1-1-10,明穂,「細かいことはいいの！カフェ巡りもできて街の平和も守れる最高の仕事だよ☆」,「Ignore the details! It's a great job where I can visit cafes and keep the peace in the city~」,「不要太在意細節啦！這是一個可以一邊逛甜點一邊保護街道和平的最棒的工作耶☆」,「不要太在意细节啦！这是一个可以一边逛甜点一边保护街道和平的最棒的工作耶☆」,「細かいことはいいの！カフェ巡りもできて街の平和も守れる最高の仕事だよ☆」,「Ignore the details! It's a great job where I can visit cafes and keep the peace in the city~」,「不要太在意細節啦！這是一個可以一邊逛甜點一邊保護街道和平的最棒的工作耶☆」,「不要太在意细节啦！这是一个可以一边逛甜点一边保护街道和平的最棒的工作耶☆」
,,,,,,,,,
Dialog.Chapter1-1-11,明穂,「それに最近はあいつらも全然出てこないし、昔より弱っちくなってるし、ちょっと退屈してきちゃったぐらい」,"「It doesn't help that they haven't come out at all lately, they're weaker than they used to be, and I'm getting a little bored with them.」",「最近他們好像變得特別老實，再加上感覺他們變越來越弱了，好無聊啊」,「最近他们好像变得特别老实，再加上感觉他们变越来越弱了，好无聊啊」,「それに最近はあいつらも全然出てこないし、昔より弱っちくなってるし、ちょっと退屈してきちゃったぐらい」,"「It doesn't help that they haven't come out at all lately, they're weaker than they used to be, and I'm getting a little bored with them.」",「最近他們好像變得特別老實，再加上感覺他們變越來越弱了，好無聊啊」,「最近他们好像变得特别老实，再加上感觉他们变越来越弱了，好无聊啊」
,,,,,,,,,
Dialog.Chapter1-1-12,六花,「…私たちが暇なのは良いこと。それにいくら最近おとなしいからって油断し過ぎは良くない。」,"「It's a good thing we're not busy. Besides, we shouldn't let our guard down too much, no matter how quiet we've been lately.」",「…我們變得清閒是好事。而且就這樣就放鬆警惕可不行。」,「…我们变得清闲是好事。而且就这样就放松警惕可不行。」,「…私たちが暇なのは良いこと。それにいくら最近おとなしいからって油断し過ぎは良くない。」,"「It's a good thing we're not busy. Besides, we shouldn't let our guard down too much, no matter how quiet we've been lately.」",「…我們變得清閒是好事。而且就這樣就放鬆警惕可不行。」,「…我们变得清闲是好事。而且就这样就放松警惕可不行。」
,,,,,,,,,
Dialog.Chapter1-1-13,明穂,「でもあの程度の強さであいつらに出来ることなんてもうなくない？私達より強い人も沢山いるのに…」,"「But there's nothing more they can do with our kind of strength, is it? There are many people stronger than us...」",「可是那種程度的壞人能做到的事情也很有限吧？明明比我們強的聖核戰姬還有很多的說…」,「可是那种程度的坏人能做到的事情也很有限吧？明明比我们强的圣核战姬还有很多的说…」,「でもあの程度の強さであいつらに出来ることなんてもうなくない？私達より強い人も沢山いるのに…」,"「But there's nothing more they can do with our kind of strength, is it? There are many people stronger than us...」",「可是那種程度的壞人能做到的事情也很有限吧？明明比我們強的聖核戰姬還有很多的說…」,「可是那种程度的坏人能做到的事情也很有限吧？明明比我们强的圣核战姬还有很多的说…」
,,今日は楽勝だったけど…,"It was an easy win today, but...",,,今日は楽勝だったけど…,,,
Dialog.Chapter1-1-14,六花,「昔に比べればあの組織がかなり弱体化しているのは事実。だけど完全に組織が瓦解してないうちは安心できない」,「It is true that that organization is much weaker than it used to be. But I don't feel safe until the organization has been completely dismantled.」,「相較以前組織是確實變弱了。但是只要組織還沒被完全瓦解之前還不能放心」,「相较以前组织是确实变弱了。但是只要组织还没被完全瓦解之前还不能放心」,「昔に比べればあの組織がかなり弱体化しているのは事実。だけど完全に組織が瓦解してないうちは安心できない」,「It is true that that organization is much weaker than it used to be. But I don't feel safe until the organization has been completely dismantled.」,「相較以前組織是確實變弱了。但是只要組織還沒被完全瓦解之前還不能放心」,「相较以前组织是确实变弱了。但是只要组织还没被完全瓦解之前还不能放心」
,,,,,,,,,
Dialog.Chapter1-1-15,明穂,「六花は心配し過ぎだって！正直私一人でも全然負ける気がしないんだけど…」,"「Rikka you're worrying too much! To be honest, I don't think I can be beaten even by myself...」",「六花也擔心過頭了吧！說實話感覺現在就算我一個人也能搞得定…」,「六花也担心过头了吧！说实话感觉现在就算我一个人也能搞得定…」,「六花は心配し過ぎだって！正直私一人でも全然負ける気がしないんだけど…」,"「Rikka you're worrying too much! To be honest, I don't think I can be beaten even by myself...」",「六花也擔心過頭了吧！說實話感覺現在就算我一個人也能搞得定…」,「六花也担心过头了吧！说实话感觉现在就算我一个人也能搞得定…」
,,,,,,,,,
Dialog.Chapter1-1-16,六花,「明穂はまだ戦い始めてから日が浅いし…あいつらは狡猾な手も使ってくる。一人で戦うのはまだ…」,「Akiho has only been fighting for a short time...and they can be very cunning. you're not ready to fight alone yet...」,「明穂正式開始戰鬥的時間還很短而且…那些家伙會使用很狡猾的手段攻過來。單獨戰鬥還…」,「明穂正式开始战斗的时间还很短而且…那些家伙会使用很狡猾的手段攻过来。单独战斗还…」,「明穂はまだ戦い始めてから日が浅いし…あいつらは狡猾な手も使ってくる。一人で戦うのはまだ…」,「Akiho has only been fighting for a short time...and they can be very cunning. you're not ready to fight alone yet...」,「明穂正式開始戰鬥的時間還很短而且…那些家伙會使用很狡猾的手段攻過來。單獨戰鬥還…」,「明穂正式开始战斗的时间还很短而且…那些家伙会使用很狡猾的手段攻过来。单独战斗还…」
,,,,,,,,,
Dialog.Chapter1-1-17,明穂,「むー、そんなに私が信用できないの？私だって結構強くなった自信あるんだけど。」,"「'Hmmm, you don't trust me that much? I'm pretty sure I'm getting stronger too.」",「姆ー、我就那麼沒法信任嗎？就算是我也有自信自己變得比之前更強了耶。」,「姆ー、我就那么没法信任吗？就算是我也有自信自己变得比之前更强了耶。」,「むー、そんなに私が信用できないの？私だって結構強くなった自信あるんだけど。」,"「'Hmmm, you don't trust me that much? I'm pretty sure I'm getting stronger too.」",「姆ー、我就那麼沒法信任嗎？就算是我也有自信自己變得比之前更強了耶。」,「姆ー、我就那么没法信任吗？就算是我也有自信自己变得比之前更强了耶。」
,,,,,,,,,
Dialog.Chapter1-1-18,六花,「…………。そうだね。明穂ならもう大丈夫だと思う。ただ油断はしないで。危なくなったらすぐ呼んで。」,"「............. Yes, that's right. I think Akiho will be fine now. Just be on your guard. Call me as soon as you are in danger.」",「…………。也是呢。明穂的話應該沒問題的。但是千萬不要大意。感覺到危險的話要立刻聯繫我。」,「…………。也是呢。明穂的话应该没问题的。但是千万不要大意。感觉到危险的话要立刻联系我。」,「…………。そうだね。明穂ならもう大丈夫だと思う。ただ油断はしないで。危なくなったらすぐ呼んで。」,"「............. Yes, that's right. I think Akiho will be fine now. Just be on your guard. Call me as soon as you are in danger.」",「…………。也是呢。明穂的話應該沒問題的。但是千萬不要大意。感覺到危險的話要立刻聯繫我。」,「…………。也是呢。明穂的话应该没问题的。但是千万不要大意。感觉到危险的话要立刻联系我。」
,,,,,,,,,
Dialog.Chapter1-1-19,明穂,「オッケー！六花のことは頼りにしてるから！」,「Okay! I'm counting on you too Rikka!」,「OKAY！我最信任六花了！」,「OKAY！我最信任六花了！」,「オッケー！六花のことは頼りにしてるから！」,「Okay! I'm counting on you too Rikka!」,「OKAY！我最信任六花了！」,「OKAY！我最信任六花了！」
,,,,,,,,,
Dialog.Chapter1-1-20,六花,「…うん。じゃあ私は帰るから。また明日」,"「Alright, I'm going home. See you tomorrow.」",「…嗯。好那我先回去了。明天見」,「…嗯。好那我先回去了。明天见」,「…うん。じゃあ私は帰るから。また明日」,"「Alright, I'm going home. See you tomorrow.」",「…嗯。好那我先回去了。明天見」,「…嗯。好那我先回去了。明天见」
,,,,,,,,,
Dialog.Chapter1-1-21,明穂,「またね！」,「See you!」,「再見！」,「再见！」,「またね！」,「See you!」,「再見！」,「再见！」
,,,,,,,,,
,帰りの電車の中,,,,,,,,
,電車の車内　夜,,,,,,,,
