Key,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,English,Korean_Steam,English_Steam
Chapter 4-1,注釈,,,,,,
Dialog.Chapter4-1-1,執務室,清藤エレナが財団に捕獲された翌日、聖月生徒会は混乱に陥っていた,清藤エレナが財団に捕獲された翌日、司令部は混乱に陥っていた,清藤艾蓮娜被財團俘虜的隔天，司令部陷入了一片混亂。,"The day after Seidō Erena was captured by the Foundation, the Seigetsu Student Council was in turmoil","세이토 엘레나가 재단에 포획된 다음 날, 사령부는 혼란에 빠져 있었다","The day after Elena Kiyofuji was captured, Command Center descended into chaos."
,,,,,,,
Dialog.Chapter4-1-2,女生徒1,「清藤エレナが財団に襲撃されて敗北し、連れ去られた……！？」,「清藤エレナが財団に襲撃されて敗北し、連れ去られた……！？」,「清藤艾蓮娜遭到財團襲擊戰敗，還被帶走了……！？」,"""Erena Seidō was attacked, defeated and taken away by the Foundation: ......!""","「세이토 엘레나가 재단에 습격당해 패배하고, 끌려갔다고……!?」","""Elena Kiyofuji was attacked and defeated by the Foundation, then kidnapped...?"""
,,,,,,,
Dialog.Chapter4-1-3,女生徒2,「そんなっ！？ありえないっ！あれだけ強いエレナ先輩が！？」,「そんなっ！？ありえないっ！あれだけ強いエレナ先輩が！？」,「怎、怎麼可能！？那麼強的艾蓮娜前輩竟然會！？」,"""What? That's impossible! Erena-senpai is that strong!""",「그런! 말도 안 돼! 그렇게 강한 엘레나 선배가!?」,"""Elena? Impossible! She's super powerful!"""
,,,,,,,
Dialog.Chapter4-1-4,女生徒3,「皆さん落ち着いてっ！まずは状況を把握するところから――――――」,「皆さん落ち着いてっ！まずは状況を把握するところから――――――」,「各位請先冷靜下來！我們得先從掌握現狀開始――――――」,"""I'll tell you what, everyone calm down! We'll start by taking stock of the situation: ――――――""",「여러분 진정하세요! 우선 상황을 파악하는 것부터――――――」,"""Calm down! We must assess the situation first!"""
,暗転,,,,,,
Dialog.Chapter4-1-5,アジト,―――――財団アジトにて,―――――財団アジトにて,―――――財團據點內,At ――――― Foundation Hideout,―――――재단 아지트에서,At the Foundation hideout...
,,,,,,,
Dialog.Chapter4-1-6,005号(通信),「清藤エレナが行方不明となり、予想通り生徒会は大混乱となっています」,「清藤エレナが行方不明となり、予想通りレギオン司令部は大混乱となっています」,「隨著清藤艾蓮娜下落不明，如我們預期，軍團司令部目前陷入嚴重混亂。」,"""As expected, the student council is in turmoil after Erena Seidō went missing.""","「세이토 엘레나가 행방불명되어, 예상대로 레기온 사령부는 대혼란 상태입니다」","""As expected, the Legion Command Center has descended into chaos after Elena Kiyofuji went missing."""
,,,,,,,
Dialog.Chapter4-1-7,,「今日は我々に対する大規模攻撃が行われる予定でしたが、統制が取れないため中止となりました」,「今日は我々に対する大規模攻撃が行われる予定でしたが、統制が取れないため中止となりました」,「原定今天要對我們發動的大規模攻擊，因為無法統合指揮，已經被迫取消了。」,"""A major attack against us was supposed to take place today, but it was canceled due to lack of control.""","「오늘은 저희에 대한 대규모 공격이 있을 예정이었으나, 통제가 되지 않아 중지되었습니다」","""They were supposed to launch a large-scale attack on us, but that was stopped because they did not have anyone to lead it."""
,,,,,,,
Dialog.Chapter4-1-7(1),選択肢,……よくやった,……よくやった,「……幹得好。」,Well done ......,……잘했다,Well done.
,,,,,,,
Dialog.Chapter4-1-8,005号,「ありがとうございます。これで我々の目的、世界征服に大きく近づきました」,「ありがとうございます。これで我々の目的、世界征服に大きく近づきました」,「謝謝。這下我們距離征服世界的目標又更近了一步。」,"""Thank you very much. Now we are much closer to our goal, world domination.""","「감사합니다. 이것으로 저희의 목적, 세계 정복에 크게 다가섰습니다」","""Thank you. We are one major step closer to world domination."""
,,,,,,,
Dialog.Chapter4-1-9,,「生徒会は清藤エレナ個人の力に大きく依存していたので、しばらく行動は制限されるでしょう」,「司令部は清藤エレナ個人の力に大きく依存していたので、しばらく行動は制限されるでしょう」,「司令部在戰力上高度依賴清藤艾蓮娜這個人，一段時間內他們的行動應該會受到嚴重的限制。」,"""The student council relied heavily on the personal power of Erena Seidō, so her actions will be limited for some time.""","「사령부는 세이토 엘레나 개인의 힘에 크게 의존하고 있었으므로, 당분간 행동은 제한될 것입니다」","""The Command Center relied significantly on Elena Kiyofuji, so they will not be able to take much action for a while."""
,,,,,,,
Dialog.Chapter4-1-10,,「今クローンや怪人等の戦力を増強すれば、武力で学園の聖核戦姫を制圧することも不可能ではありません」,「今クローンや怪人等の戦力を増強すれば、武力でレギオンの聖核戦姫を制圧することも不可能ではありません」,「現在只要強化複製人與怪人的戰力，要用武力鎮壓軍團的聖核戰姫姑且也不是不可能。」,"""If we now increase our forces of clones, monsters, etc., it is not impossible for us to subdue the school's Seikaku Princess by force of arms.""","「지금 클론이나 괴인 등의 전력을 증강하면, 무력으로 레기온의 성핵전희를 제압하는 것도 불가능하지 않습니다」","""If we can improve our ranks with clones and monsters, it's not impossible to suppress Holy Core Battlemaidens by force."""
,,,,,,,
Dialog.Chapter4-1-11,,「清藤エレナは財閥の生まれで政界、財界にコネクションがあります。上手く利用すれば彼らも利用できるでしょう」,「また清藤エレナは財閥の生まれで政界、財界にコネクションがあります。上手く利用すれば彼らも利用できるでしょう」,「另外，清藤艾蓮娜出身財閥，在政界、財界都有管道。如果運用得當，那些人也能被我們利用。」,"""Erena Seidō was born into a zaibatsu and has connections in the political and business worlds. If we use her well, we will be able to take advantage of them.""","「또한 세이토 엘레나는 재벌 출신으로 정계, 재계에 인맥이 있습니다. 잘 이용하면 그들도 이용할 수 있을 것입니다」","""Elena Kiyofuji came from a rich family, so we can use their connections to politics and finances if we have to."""
,,,,,,,
Dialog.Chapter4-1-11(1),選択肢,「ご苦労。引き続き生徒会の動向を探ってくれ」,「ご苦労。引き続きレギオンの動向を探ってくれ」,「辛苦了。今後也請你繼續調查軍團的動向吧。」,"""Thank you for your time. Keep me posted on what the student council is up to.""",「수고했다. 계속해서 레기온의 동향을 살피도록」,"""Thank you. Please keep an eye on the Legion and report back."""
,,,,,,,
Dialog.Chapter4-1-12,005号,「了解しました。引き続き潜入を継続します」,「了解しました。引き続き潜入を継続します」,「了解，我會持續潛入行動。」,"""We will continue to infiltrate. We will continue to infiltrate.""",「알겠습니다. 계속해서 잠입을 지속하겠습니다」,"""Understood. I will keep infiltrating."""
,,,,,,,
,,,,,,,
,,,,,,,
Dialog.Chapter4-1-12(1),選択肢,絶望的な状況だったが、これで少しは落ち着いたか……,絶望的な状況だったが、これで少しは落ち着いたか……,之前雖然是那樣絕望的狀況，這下總算稍微穩住一點了……,"It was a hopeless situation, but now things have calmed down a bit ......","절망적인 상황이었지만, 이걸로 조금은 진정되었나……",The desperate situation had been alleviated somewhat when...
,,,,,,,
Dialog.Chapter4-1-13,,その時、モニターに連絡が入る,その時、モニターに連絡が入る,這時，監視螢幕上跳出了新的聯絡畫面。,"At that point, the monitor is contacted.","그때, 모니터에 연락이 들어온다",The monitor beeped.
,,,,,,,
