Key,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,English_Steam,Korean_Steam
Kei Fallen Scene DLC 1,注釈,闇堕ちシーン,闇堕ちシーン,闇堕ちシーン,,타락 이벤트
Record.KeiAfter-1,路地裏,夜、町の一角の路地裏にて,夜、町の一角の路地裏にて,夜晚，城鎮一角的巷子裏,In a back alley of the town district at night.,"밤, 마을 한구석의 뒷골목에서"
,,,,,,
Record.KeiAfter-2,072号,「我々はこれより財団支配下で発生した暴動の鎮圧任務にあたります。」,「我々はこれより財団支配下で発生した暴動の鎮圧任務にあたります。」,「我等現在開始將執行鎮壓財團支配下發生的暴動任務。」,"""We will now carry out the suppression mission for the riot that occurred under Foundation control.""",「저희는 지금부터 재단 지배하에서 발생한 폭동 진압 임무에 임합니다.」
,,,,,,
Record.KeiAfter-3,,「大変な任務ではありませんが、これは財団の支配を維持するために重要であり――――」,「大変な任務ではありませんが、これは財団の支配を維持するために重要であり――――」,「雖然不是多困難的任務，但這對於維持財團的支配至關重要――――」,"""While this is not a difficult mission, it is important for maintaining the Foundation's control...""","「어려운 임무는 아니지만, 이것은 재단의 지배를 유지하기 위해 중요하며――――」"
,,,,,,
Record.KeiAfter-4,K22号,(ぐうっ…クソッ…！何で私がこんなしょうもない事をしなければならないんだ…っ！),(ぐうっ…クソッ…！何で私がこんなしょうもない事をしなければならないんだ…っ！),（唔…可惡…！為什麼我非得做這種無聊的事情…！）,(Guh... Damn it...! Why do I have to do such trivial things...!),(크윽… 젠장…! 왜 내가 이런 시시한 짓을 해야 하는 거야…!)
,,,,,,
Record.KeiAfter-5,,(こんなバカみたいな胸に改造されて…こんなものぶら下げて戦えるわけないだろっ…！),(こんなバカみたいな胸に改造されて…こんなものぶら下げて戦えるわけないだろっ…！),（被改造成這種蠢得要命的胸部…！帶著這種東西根本沒辦法戰鬥吧…！）,(Being modified with these ridiculous breasts... There's no way I can fight carrying these things around...!),(이런 바보 같은 가슴으로 개조당해서… 이런 거 달고 싸울 수 있을 리 없잖아…!)
,,,,,,
Record.KeiAfter-6,072号,「――――それでは任務を開始します。総員持ち場へ移動しなさい。」,「――――それでは任務を開始します。総員持ち場へ移動しなさい。」,「――――那麼任務開始。全員移動到各自的崗位。」,"""...Then we will begin the mission. All personnel, move to your positions.""",「――――그럼 임무를 개시합니다. 총원 위치로 이동하십시오.」
,,,,,,
Record.KeiAfter-7,戦闘員&K22号,「「「「「「キィーーーーーーッ！！！！」」」」」」,「「「「「「キィーーーーーーッ！！！！」」」」」」,「「「「「「吱ーーーーーー！！！！」」」」」」,"""KIIIIIIII!!!!""",「「「「「「키이ーーーーーー잇!!!!」」」」」」
,,,,,,
,,,,,,
,,,,,,
Record.KeiAfter-8,K22号,「っ、冗談じゃない…っ！こんな事やってられるかっ！」,「っ、冗談じゃない…っ！こんな事やってられるかっ！」,「…！開什麼玩笑…！誰要做這種事啊！」,"""...This is ridiculous...! I can't keep doing this!""","「윽, 장난 아니야…! 이런 짓 할 수 있겠냐!」"
,,,,,,
Record.KeiAfter-9,,「………とは言えチャンスだ…！これだけ混戦状態なら首輪の洗脳が届かない所まで逃げれるはず……。」,「………とは言えチャンスだ…！これだけ混戦状態なら首輪の洗脳が届かない所まで逃げれるはず……。」,「………話雖如此，這不妨也是個機會…！在這麼混亂的狀態下，應該能逃到項圈的洗腦電波傳不到的地方……。」,"""...That said, this is a chance...! In this chaos, I should be able to escape to where the collar's brainwashing can't reach...""",「………라고는 해도 기회다…! 이렇게 혼전 상태라면 목걸이의 세뇌가 닿지 않는 곳까지 도망칠 수 있을 거야…….」
,,,,,,
Record.KeiAfter-10,,「そして私ならこの首輪程度の構造なら簡単に解除できる……！」,「そして私ならこの首輪程度の構造なら簡単に解除できる……！」,「而且以我的能力，這種程度的項圈結構可以輕易解除……！」,"""And with my abilities, I can easily disable a collar of this level...!""",「그리고 나라면 이 목걸이 정도 구조라면 간단히 해제할 수 있어……!」
,,,,,,
